,id,body,author,author_id,fav_count,created_at,updated_at,cleaned_body
1809,152091704,"diğer başlığa yazdım, tekrar yazıyorum kalın kafalara:<br><br>“ bugün verdiğiniz şu birliği ve tepkiyi daha öncesinde vermeniz gerekiyordu<br><br>- 70 yaşlarında emekli olması gereken bir amca aday olacağım diye tutturduğu zaman <br>- ilk turda kesin kazanacak mansur bey’i aday göstermediğiniz zaman<br>- ittifakın içine hiç bir katkısı olmayan akp artıklarının alındığı zaman<br>- bir terör örgütünün desteğini aldığınız zaman<br><br>kusura bakmayın, geçmişteki yanlış tercihlerinizin ve bunların muhtemel sonuçlarının sorumlusu biz değiliz. <br><br>dr. oğan bey ile devam.”<br><br>geçmiş olsun.",thegodparticle,1726929,5,08.05.2023 04:49,,"diğer başlığa yazdım, tekrar yazıyorum kalın kafalara:“ bugün verdiğiniz şu birliği ve tepkiyi daha öncesinde vermeniz gerekiyordu- 70 yaşlarında emekli olması gereken bir amca aday olacağım diye tutturduğu zaman - ilk turda kesin kazanacak mansur bey’i aday göstermediğiniz zaman- ittifakın içine hiç bir katkısı olmayan akp artıklarının alındığı zaman- bir terör örgütünün desteğini aldığınız zamankusura bakmayın, geçmişteki yanlış tercihlerinizin ve bunların muhtemel sonuçlarının sorumlusu biz değiliz. dr. oğan bey ile devam.”geçmiş olsun."
1810,152090239,"chp'li bir siyasetçi çıkıp ""bize saldıran ülkü ocaklarını doğrudan isim vererek kınayabiliyor musun?"" diyerek kendi yaptığı köylü kurnazlığını kendisine yansıtsa apışıp kalacak ülkücü. tabi böyle bir soruyla karşı karşıya kalması için önce ciddiye alınan birisi olması gerek.",asuman because,1608505,34,08.05.2023 02:43,,"chp'li bir siyasetçi çıkıp ""bize saldıran ülkü ocaklarını doğrudan isim vererek kınayabiliyor musun?"" diyerek kendi yaptığı köylü kurnazlığını kendisine yansıtsa apışıp kalacak ülkücü. tabi böyle bir soruyla karşı karşıya kalması için önce ciddiye alınan birisi olması gerek."
1811,152090286,"ucuz haraketler yapıyorsun sayın oğan ! biz senin düzgün bir insan olduğuna inanmıştık ama fırsat bu fırsat deyip, samimiyet ölçecek şekilde, olayın muhatabı muhalefet olmamasına rağmen kılıçdaroğluna hdpyide kınayın sıkıyosa şeklinde konuşan birisi çıktın. galiba gerçekten ak partiye çalışıyor inceyle s.oğan",astronot kokonat,2421354,20,08.05.2023 02:46,,"ucuz haraketler yapıyorsun sayın oğan ! biz senin düzgün bir insan olduğuna inanmıştık ama fırsat bu fırsat deyip, samimiyet ölçecek şekilde, olayın muhatabı muhalefet olmamasına rağmen kılıçdaroğluna hdpyide kınayın sıkıyosa şeklinde konuşan birisi çıktın. galiba gerçekten ak partiye çalışıyor inceyle s.oğan"
1812,152090305,"bunu da iki övdük efendi adam diye hemen ülkücü damarı kabarmış, faşist yobaz kardeşleri üzerinden dikkatleri çekmeye çalışıyor.<br><br>eski mhpli siyasetçidir.",enkcore,1451497,7,08.05.2023 02:47,,"bunu da iki övdük efendi adam diye hemen ülkücü damarı kabarmış, faşist yobaz kardeşleri üzerinden dikkatleri çekmeye çalışıyor.eski mhpli siyasetçidir."
1813,152090341,"herkes bugun ki olay ile ilgili ses, görüntü olmadığından olayın yaşanmadığını düşündüğünden adama bilenmiş. bence de olay yaşanmamıştır da. yaşanmış olsun varsayalım. kişiler de gerçekten hdp li, alınlarında hdp li yazdığını varsayalım. herşeyi bir şekilde kabul edelim. tüm bu yaşananların malum kişilerin seçim provakasyonudur dememesinden dolayı bilenmeniz gerekiyor. yarın görüntü paylaşsa adam yine iyi biri olmıcak. neyse milliyetçilikle alakam olmamasına rağmen babala tv yayınında keşke tüm ülkücüler böyle olsa demiştim. geri alıyorum. en olmadık yerde nasıl tehlikeli olabileceklerini görüyoruz.",korkayrumondan,1691503,19,08.05.2023 02:49,,"herkes bugun ki olay ile ilgili ses, görüntü olmadığından olayın yaşanmadığını düşündüğünden adama bilenmiş. bence de olay yaşanmamıştır da. yaşanmış olsun varsayalım. kişiler de gerçekten hdp li, alınlarında hdp li yazdığını varsayalım. herşeyi bir şekilde kabul edelim. tüm bu yaşananların malum kişilerin seçim provakasyonudur dememesinden dolayı bilenmeniz gerekiyor. yarın görüntü paylaşsa adam yine iyi biri olmıcak. neyse milliyetçilikle alakam olmamasına rağmen babala tv yayınında keşke tüm ülkücüler böyle olsa demiştim. geri alıyorum. en olmadık yerde nasıl tehlikeli olabileceklerini görüyoruz."
1814,152090345,"sağ olsun sonunda beni haksız çıkardı. bir hafta daha bekleyemedi.<br><br>imamoğlu'nun otobüs içindeki çırpınışını izlesin de özverili olmak ne demek görsün.<br><br>hadi yavrum, al ince'yi koluna herkes kendi yoluna. atatürk kim siz kim!",macenas,1378165,26,08.05.2023 02:49,,"sağ olsun sonunda beni haksız çıkardı. bir hafta daha bekleyemedi.imamoğlu'nun otobüs içindeki çırpınışını izlesin de özverili olmak ne demek görsün.hadi yavrum, al ince'yi koluna herkes kendi yoluna. atatürk kim siz kim!"
1815,152090552,"ne mutlu türk'üm diyemeyen malum kesim ve hdp'li sözlük yazarları tarafından linçlenen cumhurbaşkanı adayı.<br><br>bu adamın cumhur ittifakından mhp'nin oyunu alabildiğini göremeyecek kadar cahilsiniz.<br><br>malum parti ve örgüt sanki hiç askerlere, sivillere saldırmamış toplu katliam yapmamış gibi masum ayaklarına da yatmayın.<br><br>pkk bir terör örgütüdür, hdp de siyasi temsilcisidir.<br><br>bu ülkenin bu kadar gerilimli günlerden geçme sebebi de, gezi parkı'nın demokrasi mücadelesi olarak başlayıp devamında militanlarınızı parka yerleştirip olayı amacından şaşırtıp terör eylemine çevirmeniz de, her türlü yürüyüşte sözde kürdistan sloganı atmanız da hep iktidara yaradı, süreçlerin hepsi muhalefetin aleyhine işledi. girdiğiniz her olay, gösteri ve yürüyüşü bok ettiniz. yeter artık. <br><br>bu seçimi gölgeleyemezsiniz.",sahicifilozof,1774161,10,08.05.2023 03:01,,"ne mutlu türk'üm diyemeyen malum kesim ve hdp'li sözlük yazarları tarafından linçlenen cumhurbaşkanı adayı.bu adamın cumhur ittifakından mhp'nin oyunu alabildiğini göremeyecek kadar cahilsiniz.malum parti ve örgüt sanki hiç askerlere, sivillere saldırmamış toplu katliam yapmamış gibi masum ayaklarına da yatmayın.pkk bir terör örgütüdür, hdp de siyasi temsilcisidir.bu ülkenin bu kadar gerilimli günlerden geçme sebebi de, gezi parkı'nın demokrasi mücadelesi olarak başlayıp devamında militanlarınızı parka yerleştirip olayı amacından şaşırtıp terör eylemine çevirmeniz de, her türlü yürüyüşte sözde kürdistan sloganı atmanız da hep iktidara yaradı, süreçlerin hepsi muhalefetin aleyhine işledi. girdiğiniz her olay, gösteri ve yürüyüşü bok ettiniz. yeter artık. bu seçimi gölgeleyemezsiniz."
1816,152090571,"bizim ülkeden bir yarrak olmaz. ilk defa secimi kazanmaya bu kadar yakınken, oy bölecek iki elemanı ortaya cıkardılar. ne türkü ne kürdü amk vatan elden gidiyor su tartısmalara bak. rüzgar nereye eserse oraya dönen adamlar önce ince'ci, oğan ortaya cıkınca oğanc'cı olmus.<br><br>eee ne demisler; türküyle, kürdüyle, alevisiyle, sünnisiyle yarak gibi bir milletiz ve erdoğan'ı hak ediyoruz.",tuortelperien,1732523,16,08.05.2023 03:02,,"bizim ülkeden bir yarrak olmaz. ilk defa secimi kazanmaya bu kadar yakınken, oy bölecek iki elemanı ortaya cıkardılar. ne türkü ne kürdü amk vatan elden gidiyor su tartısmalara bak. rüzgar nereye eserse oraya dönen adamlar önce ince'ci, oğan ortaya cıkınca oğanc'cı olmus.eee ne demisler; türküyle, kürdüyle, alevisiyle, sünnisiyle yarak gibi bir milletiz ve erdoğan'ı hak ediyoruz."
1817,152090591,"bugun secim otobusune yapilan taslama'nin neticesinde chpliler tarafindan<br>""olur mu ya, hdp hic oyle sey yapmaz, biz kefiliz siz yalan soyluyorsunuz."" seklinde elestirilen cumhurbaskani adayi.<br><br>sonra da bunlar ittifak kurmus diyenlere kufrediyorlar. olum siz ne ayaksiniz lan? gotunuz ayri , basiniz ayri oynuyor.",more space,1307222,9,08.05.2023 03:04,,"bugun secim otobusune yapilan taslama'nin neticesinde chpliler tarafindan""olur mu ya, hdp hic oyle sey yapmaz, biz kefiliz siz yalan soyluyorsunuz."" seklinde elestirilen cumhurbaskani adayi.sonra da bunlar ittifak kurmus diyenlere kufrediyorlar. olum siz ne ayaksiniz lan? gotunuz ayri , basiniz ayri oynuyor."
1818,152090606,"eğitimi o kadar boktan bir hale getirdiler ki <br>sanırsın oğan oxforddan girip mitden çıkmış<br>marmara mezunu, yine marmarada yüksek lisans yapmış<br>sonrası biraz yarı karanlık rusya dağılmadan rusyaya gitmek, elçibeyin ofisinde çalışmak değil bulunmak<br>kayınpederinin kim olduğunu biliyorsunuz, onsuz mhp içinde bu kadar yükselebilir miydi? <br>kendi kendine kril öğrenip rusyada gazeteye yazı yazmış, sonra oradan sürekli cevaplar gelince huylanmışlar ığdırda falan, size afiyet olsun<br>ha bu arada nebati de doktor<br>biz bu seçeceğimiz cb adayında kadroları yetkin isimlere teslim edecek basiret ve sağduyulu bir yönetim bekliyoruz üniversitede ders verdirmeyeceğiz<br>yine bir küçük not<br>babaladaki tüm yayını izledim<br>tatlış sosa bulanmış tam tipik bir kafatasçı",komedifransez,1336045,14,08.05.2023 03:04,08.05.2023 17:04,"eğitimi o kadar boktan bir hale getirdiler ki sanırsın oğan oxforddan girip mitden çıkmışmarmara mezunu, yine marmarada yüksek lisans yapmışsonrası biraz yarı karanlık rusya dağılmadan rusyaya gitmek, elçibeyin ofisinde çalışmak değil bulunmakkayınpederinin kim olduğunu biliyorsunuz, onsuz mhp içinde bu kadar yükselebilir miydi? kendi kendine kril öğrenip rusyada gazeteye yazı yazmış, sonra oradan sürekli cevaplar gelince huylanmışlar ığdırda falan, size afiyet olsunha bu arada nebati de doktorbiz bu seçeceğimiz cb adayında kadroları yetkin isimlere teslim edecek basiret ve sağduyulu bir yönetim bekliyoruz üniversitede ders verdirmeyeceğizyine bir küçük notbabaladaki tüm yayını izledimtatlış sosa bulanmış tam tipik bir kafatasçı"
