,id,body,author,author_id,fav_count,created_at,updated_at,cleaned_body
2177,151937828,4 partinin oyundan çok oyum var diyor kendisi. baraj sıkıntım yok diyor. <br>2 ay öncesine kadar senin oyun anketlerde devadan ve saadetten daha azdı. akp parlatmasıyla suni bi yükselişle 9 ları gördün şu an ise her hafta düşüş yaşıyorsun. partin 1.6 ya kendin 3.5 e düştün.<br>seçim günü daha da düşecek merak etme !<br>resmen kendini bitirdin. bu seçim kılıçdaroğlu için son seçim olacak. belki bir sonraki seçimde şansın olurdu ama onu da bitirdin. kılıçdaroğlu'na oy vereceklerin çoğu bu yaptığın kötülüğü asla unutmaz ve sana da oy vermez. hala bir şansın varken çekilir destek verir kahraman olursun ya da silinip gidersin. senin zekana ve vicdanına kalmış,ashampoo,2621852,6,04.05.2023 00:19,,4 partinin oyundan çok oyum var diyor kendisi. baraj sıkıntım yok diyor. 2 ay öncesine kadar senin oyun anketlerde devadan ve saadetten daha azdı. akp parlatmasıyla suni bi yükselişle 9 ları gördün şu an ise her hafta düşüş yaşıyorsun. partin 1.6 ya kendin 3.5 e düştün.seçim günü daha da düşecek merak etme !resmen kendini bitirdin. bu seçim kılıçdaroğlu için son seçim olacak. belki bir sonraki seçimde şansın olurdu ama onu da bitirdin. kılıçdaroğlu'na oy vereceklerin çoğu bu yaptığın kötülüğü asla unutmaz ve sana da oy vermez. hala bir şansın varken çekilir destek verir kahraman olursun ya da silinip gidersin. senin zekana ve vicdanına kalmış
2178,151937974,"atatürk'ü tekeline aldıklarını söyleyenlerle , dini tekeline aldıklarını söyleyenler el el vermiş. <br><br>muharrem ince azalarak bitiyor .",hayalllerin kadar varsin,1275557,2,04.05.2023 00:23,,"atatürk'ü tekeline aldıklarını söyleyenlerle , dini tekeline aldıklarını söyleyenler el el vermiş. muharrem ince azalarak bitiyor ."
2179,151937994,"ömür boyu oyumuzu, sevgimizi, saygımızı kaybetmiş beş para etmez kişilik. rezil.",spyllyum,1242425,4,04.05.2023 00:24,,"ömür boyu oyumuzu, sevgimizi, saygımızı kaybetmiş beş para etmez kişilik. rezil."
2180,151937154,seçime günler kala televizyon programları ve sosyal medyada çok üzerine gidilen siyasetçidir.<br><br>yüzde 10 oyunu bence 3-4 seviyelerine düşürdü bunun bir sebebi de seçimin ikinci tura kalmaması ve iktidarı istemeyen seçmenin oyunu boşa atmak istememesi.,avkatbeg36,2157607,2,04.05.2023 00:04,,seçime günler kala televizyon programları ve sosyal medyada çok üzerine gidilen siyasetçidir.yüzde 10 oyunu bence 3-4 seviyelerine düşürdü bunun bir sebebi de seçimin ikinci tura kalmaması ve iktidarı istemeyen seçmenin oyunu boşa atmak istememesi.
2181,151937160,yine fetö ve pkk'yı kudurtmuş ve 2 entryli kendine hakaret eden yazarları silkip attan kişidir.<br><br>kendisine beddua edenlerin çoğu eski akpli cemaatçi trollerdir. o troller şuanda y-chp'yi destekliyor. çok ilginç,vakurkurt,1946587,9,04.05.2023 00:04,04.05.2023 00:10,yine fetö ve pkk'yı kudurtmuş ve 2 entryli kendine hakaret eden yazarları silkip attan kişidir.kendisine beddua edenlerin çoğu eski akpli cemaatçi trollerdir. o troller şuanda y-chp'yi destekliyor. çok ilginç
2182,151937229,"daha 6'lı masanın mutakabat metnini bile okumamış. 2500 madde yerine 2500 sayfa diyecek kadar bilgisiz.<br><br>gerçekten inanılmaz ya. okumadan bir de atıp tutuyor. tam bir akp'li işte. <br><br>daha komiği atatürk partisi biziz diye istismar yapıyor, chp atatürk çizgisi rörörö diyor, sadullah ergin rörörö diyor ama avukatı tescilli atatürk düşmanı fatih tezcan'la sarmas dolaş fotoğrafları var.<br><br>mahir ünal'la görüştüğünü dile getiriyor falan.<br><br>ya işte ben buna gülerim ya ahahahahaha.<br><br>diyoruz ya tam bir akp'li. tam bir ulusalcı.<br><br>++<br><br>güzel oluyor. ince sayesinde ulusalcılık, rte sayesinde siyasal islam tarih olacak. böylelikle ülkenin önü de, arkası da açılmış olacak. güzel günler şimdi olmasa bile yıllar sonra ülkemizi çok güzel bir şekilde kucaklayacak.",confrontation,3001570,81,04.05.2023 00:05,04.05.2023 00:07,"daha 6'lı masanın mutakabat metnini bile okumamış. 2500 madde yerine 2500 sayfa diyecek kadar bilgisiz.gerçekten inanılmaz ya. okumadan bir de atıp tutuyor. tam bir akp'li işte. daha komiği atatürk partisi biziz diye istismar yapıyor, chp atatürk çizgisi rörörö diyor, sadullah ergin rörörö diyor ama avukatı tescilli atatürk düşmanı fatih tezcan'la sarmas dolaş fotoğrafları var.mahir ünal'la görüştüğünü dile getiriyor falan.ya işte ben buna gülerim ya ahahahahaha.diyoruz ya tam bir akp'li. tam bir ulusalcı.++güzel oluyor. ince sayesinde ulusalcılık, rte sayesinde siyasal islam tarih olacak. böylelikle ülkenin önü de, arkası da açılmış olacak. güzel günler şimdi olmasa bile yıllar sonra ülkemizi çok güzel bir şekilde kucaklayacak."
2183,151937260,"""burada bütün bu argümanlara karşı söylenen şey ise ""alkolik, ayyaş""."" <br>denmiş. ben şu entryde (bkz: <a class=""b"" href=""/entry/151867236"">#151867236</a>) hiç ayyaş demeden epey uzunca saydım döktüm ne kadar kötü olduğunu. <a class=""b"" href=""/?q=biraz+ara%c5%9ft%c4%b1rman%c4%b1+%c3%b6neririm"">biraz araştırmanı öneririm</a><br><br>o değil de muharrem şu videodaki pastayı yerken olmayan sıkıntı sonra ne ara peydahlandı<br><a rel=""nofollow noopener"" class=""url"" target=""_blank"" href=""https://www.youtube.com/watch?v=X4_zPJzWiuA"" title=""https://www.youtube.com/watch?v=X4_zPJzWiuA"">muharrem ince, gelecek partisi genel başkanı ahmet davutoğlu’nu ziyaret etti.</a>",issa,1152611,5,04.05.2023 00:06,04.05.2023 00:26,"""burada bütün bu argümanlara karşı söylenen şey ise ""alkolik, ayyaş""."" denmiş. ben şu entryde (bkz: #151867236) hiç ayyaş demeden epey uzunca saydım döktüm ne kadar kötü olduğunu. biraz araştırmanı öneririmo değil de muharrem şu videodaki pastayı yerken olmayan sıkıntı sonra ne ara peydahlandımuharrem ince, gelecek partisi genel başkanı ahmet davutoğlu’nu ziyaret etti."
2184,151937393,"ağa o kadar mide bulandırıyorsun ki ikiniz kalsanız önce erdoğan'a sonra hüdapar'lı akp'ye oyumu basarım. <br>gerekirse bir oto sanayide çırak olarak işe başlarım. erkek adamım, bir şekil bunların dünyasında yaşarım. ha yaşayamadım, beton dökseler üstüme, domuz bağı yapsalar, senin yarattığın mide bulantısından, sana verme ihtimalim olan oydan daha az üzer beni.<br><br>bir insanın tek bir lafı samimi olmaz mı arkadaş? yok o çıkarsa bu çıkarsa gelirmiş. <br><br>bana kimse teklif getirmedi diyip yalanın ortaya çıktıktan sonra sana ne teklif edildiğini soran gazeteciye ""sen gazeteciysen ben de politikacıyım"" pişkinliğiyle cevap vermemiş adamsın. o şu bu giderse ittifaka girermiş. hadi oradan samimiyetsiz adam...<br><br><a class=""b"" href=""/?q=mahir+%c3%bcnal+ile+g%c3%b6r%c3%bc%c5%9ft%c3%bc%c4%9f%c3%bcn%c3%bc+itiraf+etmi%c5%9f."">mahir ünal ile görüştüğünü itiraf etmiş.</a> biz senin attığın her adımı, niyetini, ciğerini biliyoruz. bizi en çok üzen de bu. bir ego, bir kibir bir insanı ne kadar şeytanlaştırabilir gün gün izliyoruz sayende.",natalya tommiks texas julyet,1110869,24,04.05.2023 00:09,,"ağa o kadar mide bulandırıyorsun ki ikiniz kalsanız önce erdoğan'a sonra hüdapar'lı akp'ye oyumu basarım. gerekirse bir oto sanayide çırak olarak işe başlarım. erkek adamım, bir şekil bunların dünyasında yaşarım. ha yaşayamadım, beton dökseler üstüme, domuz bağı yapsalar, senin yarattığın mide bulantısından, sana verme ihtimalim olan oydan daha az üzer beni.bir insanın tek bir lafı samimi olmaz mı arkadaş? yok o çıkarsa bu çıkarsa gelirmiş. bana kimse teklif getirmedi diyip yalanın ortaya çıktıktan sonra sana ne teklif edildiğini soran gazeteciye ""sen gazeteciysen ben de politikacıyım"" pişkinliğiyle cevap vermemiş adamsın. o şu bu giderse ittifaka girermiş. hadi oradan samimiyetsiz adam...mahir ünal ile görüştüğünü itiraf etmiş. biz senin attığın her adımı, niyetini, ciğerini biliyoruz. bizi en çok üzen de bu. bir ego, bir kibir bir insanı ne kadar şeytanlaştırabilir gün gün izliyoruz sayende."
2185,151937403,cok buyuk bir hayal kirikligisin muarrem sen. sana yaziklar olsun ne hirsli adammissin sen. ataturk bir gun bi haci gorur ve ona valilik teklif ettirir. bakar ki haci hemen sakallari kesmis ve soyle demis “bu adam makami gorunce haci sakalini hemen kestigine gore yarin milletini de satar”,zaferizm,789532,6,04.05.2023 00:09,,cok buyuk bir hayal kirikligisin muarrem sen. sana yaziklar olsun ne hirsli adammissin sen. ataturk bir gun bi haci gorur ve ona valilik teklif ettirir. bakar ki haci hemen sakallari kesmis ve soyle demis “bu adam makami gorunce haci sakalini hemen kestigine gore yarin milletini de satar”
2186,151937417,"sorun diğer adayların böldüğü oylar nedeniyle seçimin 2'inci tura kalmasıysa, sinan oğan ile de uğraşmanız lazım. o daha fazla oy alabilir ince'den, hatta öyle olacak gibi. <br><br>sorun seçimin 2'inci tura kalması değil. sorun ak parti'nin devam etme riski de değil. desteklediğiniz adayın/ittifakın/partinin eleştirilmesini kaldıramıyorsunuz. çünkü fanatiksiniz, bağnazsınız.<br><br>beğenelim beğenmeyelim, muharrem ince iyi bir hatip ve laflarını güzel saplıyor. bu da ekseriyetle chp fanatiği olan sözlükçüleri kudurtuyor. durum bundan ibaret. <br><br>yoksa zaten işin matematiğine girersek seçimin 2'inci tura kalmasının bir riski yok. ikinci turda karşısında rte ve kk'yı görünce rte'yi seçecek olan seçmen, ince'nin olmadığı senaryoda, ilk turda da rte'yi seçer. aynı hesaba geliyor.",scientist15,1686950,2,04.05.2023 00:09,04.05.2023 00:16,"sorun diğer adayların böldüğü oylar nedeniyle seçimin 2'inci tura kalmasıysa, sinan oğan ile de uğraşmanız lazım. o daha fazla oy alabilir ince'den, hatta öyle olacak gibi. sorun seçimin 2'inci tura kalması değil. sorun ak parti'nin devam etme riski de değil. desteklediğiniz adayın/ittifakın/partinin eleştirilmesini kaldıramıyorsunuz. çünkü fanatiksiniz, bağnazsınız.beğenelim beğenmeyelim, muharrem ince iyi bir hatip ve laflarını güzel saplıyor. bu da ekseriyetle chp fanatiği olan sözlükçüleri kudurtuyor. durum bundan ibaret. yoksa zaten işin matematiğine girersek seçimin 2'inci tura kalmasının bir riski yok. ikinci turda karşısında rte ve kk'yı görünce rte'yi seçecek olan seçmen, ince'nin olmadığı senaryoda, ilk turda da rte'yi seçer. aynı hesaba geliyor."
